pl_name,hostname,pl_rade,ra
Kepler-1466 b,Kepler-1466,1.55,289.8312418
Kepler-1469 b,Kepler-1469,2.8,293.8213286
Kepler-1472 b,Kepler-1472,1.9,294.8526163
Kepler-1473 b,Kepler-1473,1.19,290.6365144
Kepler-1475 b,Kepler-1475,2.92,295.9482766
Kepler-149 b,Kepler-149,4.21,285.8537014
Kepler-1493 b,Kepler-1493,1.41,288.5493683
Kepler-1494 b,Kepler-1494,3.07,282.6573891
Kepler-1498 b,Kepler-1498,1.33,284.7780883
Kepler-1499 b,Kepler-1499,1.19,283.986348
Kepler-150 c,Kepler-150,3.69,288.2341025
Kepler-1501 b,Kepler-1501,1.56,289.918589
Kepler-1518 c,Kepler-1518,2.9,300.3323404
Kepler-1526 b,Kepler-1526,2.43,285.1197266
Kepler-1537 b,Kepler-1537,1.18,294.3853917
Kepler-1538 b,Kepler-1538,2.82,283.345611
Kepler-154 f,Kepler-154,1.5,289.7805393
Kepler-1543 b,Kepler-1543,2.71,297.1242915
Kepler-155 b,Kepler-155,2.09,288.4957831
Kepler-1559 b,Kepler-1559,0.72,292.2866565
Kepler-1567 b,Kepler-1567,2.73,286.695153
Kepler-157 d,Kepler-157,1.46,291.0972257
Kepler-1597 b,Kepler-1597,1.06,288.1639687
Kepler-1600 b,Kepler-1600,3.13,291.3993802
Kepler-1607 b,Kepler-1607,0.92,296.0598685
Kepler-1608 b,Kepler-1608,1.73,295.563555
Kepler-1612 b,Kepler-1612,1.03,291.2503022
Kepler-1618 b,Kepler-1618,1.26,295.1753619
Kepler-1630 b,Kepler-1630,2.19,297.5083004
Kepler-164 b,Kepler-164,1.41,287.7808115
Kepler-1649 b,Kepler-1649,1.017,292.5029676
Kepler-165 c,Kepler-165,2.23,280.69092
Kepler-1654 b,Kepler-1654,9.180171,282.1856949
Kepler-1656 b,Kepler-1656,4.574,284.4722473
Kepler-1664 b,Kepler-1664,3.03320653,286.8527157
Kepler-1667 b,Kepler-1667,2.98385261,283.5329505
Kepler-1669 b,Kepler-1669,2.78043818,297.4303826
Kepler-1669 d,Kepler-1669,1.22,297.4303826
Kepler-1674 b,Kepler-1674,3.2057749,294.8160447
Kepler-1685 b,Kepler-1685,2.57673985,296.1882618
